"Relative.Efficacy","Deaths","Weeks","R.eff","Vaccine"
0.7,51728.7867061503,7,1.3,"CoronaVac"
0.8,49351.8380906076,7,1.3,"CoronaVac"
0.9,46973.3929041006,7,1.3,"CoronaVac"
0.1,77787.8684180429,7,1.4,"CoronaVac"
0.2,74866.7955327112,7,1.4,"CoronaVac"
0.3,71946.3852902495,7,1.4,"CoronaVac"
0.4,69022.9918010723,7,1.4,"CoronaVac"
0.5,66106.7792760593,7,1.4,"CoronaVac"
0.6,63177.8746279691,7,1.4,"CoronaVac"
0.7,60256.7438021662,7,1.4,"CoronaVac"
0.8,57331.8876141859,7,1.4,"CoronaVac"
0.9,54406.2572903743,7,1.4,"CoronaVac"
0.1,26183.1497942878,12,0.9,"CoronaVac"
0.2,25274.7775332025,12,0.9,"CoronaVac"
0.3,24365.782574849,12,0.9,"CoronaVac"
0.4,23456.4554223138,12,0.9,"CoronaVac"
0.5,22546.5384035943,12,0.9,"CoronaVac"
0.6,21636.2910373325,12,0.9,"CoronaVac"
0.7,20724.8610597661,12,0.9,"CoronaVac"
0.8,19815.1325894557,12,0.9,"CoronaVac"
0.9,18901.8479875467,12,0.9,"CoronaVac"
0.1,35436.4341486358,12,1,"CoronaVac"
0.2,34001.2493204844,12,1,"CoronaVac"
0.3,32564.6309916502,12,1,"CoronaVac"
0.4,31127.2945288004,12,1,"CoronaVac"
0.5,29689.023520154,12,1,"CoronaVac"
0.6,28250.1392127122,12,1,"CoronaVac"
0.7,26810.1251562674,12,1,"CoronaVac"
0.8,25368.4410904761,12,1,"CoronaVac"
0.9,23926.9496499533,12,1,"CoronaVac"
0.1,47283.9188808824,12,1.1,"CoronaVac"
0.2,45141.3902827275,12,1.1,"CoronaVac"
0.3,42998.8583819391,12,1.1,"CoronaVac"
0.4,40854.9532694784,12,1.1,"CoronaVac"
0.5,38707.9762489586,12,1.1,"CoronaVac"
0.6,36559.6910921136,12,1.1,"CoronaVac"
0.7,34412.6355454905,12,1.1,"CoronaVac"
0.8,32263.0547083147,12,1.1,"CoronaVac"
0.9,30110.2300973338,12,1.1,"CoronaVac"
0.1,60773.7419805995,12,1.2,"CoronaVac"
0.2,57788.3965025242,12,1.2,"CoronaVac"
0.3,54800.5590569986,12,1.2,"CoronaVac"
0.4,51811.142113839,12,1.2,"CoronaVac"
0.5,48819.9393036749,12,1.2,"CoronaVac"
0.6,45826.9507526897,12,1.2,"CoronaVac"
0.7,42832.5132012166,12,1.2,"CoronaVac"
0.8,39837.6542778508,12,1.2,"CoronaVac"
0.9,36838.2351902434,12,1.2,"CoronaVac"
0.1,74909.7895335813,12,1.3,"CoronaVac"
0.2,71012.6943415557,12,1.3,"CoronaVac"
0.3,67112.0220142035,12,1.3,"CoronaVac"
0.4,63211.9536097894,12,1.3,"CoronaVac"
0.5,59306.7933161513,12,1.3,"CoronaVac"
0.6,55399.3879006643,12,1.3,"CoronaVac"
0.7,51490.4820172722,12,1.3,"CoronaVac"
0.8,47580.3659401701,12,1.3,"CoronaVac"
0.9,43667.4936482805,12,1.3,"CoronaVac"
0.1,88909.6016836738,12,1.4,"CoronaVac"
0.2,84106.5178905071,12,1.4,"CoronaVac"
0.3,79301.1506572255,12,1.4,"CoronaVac"
0.4,74491.545277991,12,1.4,"CoronaVac"
0.5,69683.3966565297,12,1.4,"CoronaVac"
0.6,64866.9131428444,12,1.4,"CoronaVac"
0.7,60052.3279562278,12,1.4,"CoronaVac"
0.8,55234.1330644556,12,1.4,"CoronaVac"
0.9,50413.3027445707,12,1.4,"CoronaVac"
