"Relative.Efficacy","Saved.lifes","Weeks","R.eff","Vaccine"
0.6,0.357253885446539,3,1.2,"CoronaVac"
0.7,0.37014996276242,3,1.2,"CoronaVac"
0.8,0.383041104013526,3,1.2,"CoronaVac"
0.9,0.39592786211182,3,1.2,"CoronaVac"
0.1,0.239836023555957,7,1.2,"CoronaVac"
0.2,0.265817707748399,7,1.2,"CoronaVac"
0.3,0.291856522178344,7,1.2,"CoronaVac"
0.4,0.317920041841827,7,1.2,"CoronaVac"
0.5,0.343967158060886,7,1.2,"CoronaVac"
0.6,0.370003282732664,7,1.2,"CoronaVac"
0.7,0.396075717505112,7,1.2,"CoronaVac"
0.8,0.422107248664247,7,1.2,"CoronaVac"
0.9,0.448217557767167,7,1.2,"CoronaVac"
0.1,0.147719523910737,12,1.2,"CoronaVac"
0.2,0.189585494022585,12,1.2,"CoronaVac"
0.3,0.231486411056175,12,1.2,"CoronaVac"
0.4,0.273409478692173,12,1.2,"CoronaVac"
0.5,0.315357591019039,12,1.2,"CoronaVac"
0.6,0.357330746267201,12,1.2,"CoronaVac"
0.7,0.399324222048299,12,1.2,"CoronaVac"
0.8,0.441323607076149,12,1.2,"CoronaVac"
0.9,0.483386943060846,12,1.2,"CoronaVac"
0.1,0.297540602142146,3,1.3,"CoronaVac"
0.2,0.310608637955406,3,1.3,"CoronaVac"
0.3,0.323692452718812,3,1.3,"CoronaVac"
0.4,0.336754523530067,3,1.3,"CoronaVac"
0.5,0.349844534721375,3,1.3,"CoronaVac"
0.6,0.362928505420566,3,1.3,"CoronaVac"
0.7,0.376042533047907,3,1.3,"CoronaVac"
0.8,0.389118457937252,3,1.3,"CoronaVac"
0.9,0.402200411506978,3,1.3,"CoronaVac"
0.1,0.242164524207366,7,1.3,"CoronaVac"
0.2,0.269426324384421,7,1.3,"CoronaVac"
0.3,0.296702321806204,7,1.3,"CoronaVac"
0.4,0.3239248499561,7,1.3,"CoronaVac"
0.5,0.351226552310145,7,1.3,"CoronaVac"
0.6,0.378551057396215,7,1.3,"CoronaVac"
0.7,0.405844125090348,7,1.3,"CoronaVac"
0.8,0.433145712353657,7,1.3,"CoronaVac"
0.9,0.460464489203022,7,1.3,"CoronaVac"
0.1,0.139587560936722,12,1.3,"CoronaVac"
0.2,0.184349523295852,12,1.3,"CoronaVac"
0.3,0.229152572564322,12,1.3,"CoronaVac"
0.4,0.273948685185239,12,1.3,"CoronaVac"
0.5,0.318803283150382,12,1.3,"CoronaVac"
0.6,0.363683668543016,12,1.3,"CoronaVac"
0.7,0.408581288281895,12,1.3,"CoronaVac"
0.8,0.453492808283053,12,1.3,"CoronaVac"
0.9,0.498435986115619,12,1.3,"CoronaVac"
0.1,0.293133792060128,3,1.4,"CoronaVac"
0.2,0.306368939508324,3,1.4,"CoronaVac"
0.3,0.319565840768511,3,1.4,"CoronaVac"
0.4,0.332788616239854,3,1.4,"CoronaVac"
0.5,0.34600731346851,3,1.4,"CoronaVac"
0.6,0.359219587398463,3,1.4,"CoronaVac"
0.7,0.37243837470553,3,1.4,"CoronaVac"
0.8,0.38565915724109,3,1.4,"CoronaVac"
0.9,0.398882854370503,3,1.4,"CoronaVac"
0.1,0.234249265922453,7,1.4,"CoronaVac"
0.2,0.263004568667295,7,1.4,"CoronaVac"
0.3,0.291753348296457,7,1.4,"CoronaVac"
0.4,0.32053149527311,7,1.4,"CoronaVac"
0.5,0.349238952196263,7,1.4,"CoronaVac"
0.6,0.378071351514175,7,1.4,"CoronaVac"
0.7,0.406827224630198,7,1.4,"CoronaVac"
0.8,0.435619770544693,7,1.4,"CoronaVac"
0.9,0.46441993712155,7,1.4,"CoronaVac"
0.1,0.124765928924416,12,1.4,"CoronaVac"
0.2,0.172047915373607,12,1.4,"CoronaVac"
0.3,0.219352380211521,12,1.4,"CoronaVac"
0.4,0.266698565737256,12,1.4,"CoronaVac"
0.5,0.314030410809179,12,1.4,"CoronaVac"
0.6,0.36144430530563,12,1.4,"CoronaVac"
0.7,0.40883951250063,12,1.4,"CoronaVac"
0.8,0.456270253956035,12,1.4,"CoronaVac"
0.9,0.503726938801495,12,1.4,"CoronaVac"
